application_id,service_type,service_category,age,gender,caste,district,annual_income,average_income_last_3_years,missing_documents_count,missing_fields_count,field_mismatch_count,document_quality_score,age_eligible,income_eligible,district_valid,risk_probability,risk_score,risk_level,main_contributing_factors,rejected,uploaded_documents,application_fields
APP-000001,birth_certificate_correction,civil_registration,23,male,ST,bilaspur,76225,81748,0,0,0,0.868,1,1,1,0.1062,11,low,document_quality,0,"[""existing_birth_certificate"",""hospital_record"",""school_record"",""supporting_correction_proof""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":76225,""average_income_last_3_years"":81748,""date_of_birth"":""2003-01-21"",""application_number"":""BC-809570""}"
APP-000002,birth_certificate_correction,civil_registration,37,female,SC,bilaspur,489898,448811,1,0,1,0.696,1,1,1,0.4264,43,medium,"missing_documents, document_quality, field_mismatch",0,"[""existing_birth_certificate"",""hospital_record"",""school_record""]","{""gender"":""female"",""district"":""bilaspur"",""annual_income"":489898,""average_income_last_3_years"":448811,""date_of_birth"":""1988-03-22"",""application_number"":""BC-543143""}"
APP-000003,birth_certificate_correction,civil_registration,34,female,SC,jagdalpur,612275,543362,0,1,2,0.931,1,1,1,0.3041,30,low,"field_mismatch, missing_fields, document_quality",0,"[""existing_birth_certificate"",""hospital_record"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""jagdalpur"",""annual_income"":612275,""average_income_last_3_years"":543362,""date_of_birth"":""1991-04-28"",""application_number"":""BC-748564""}"
APP-000004,obc_certificate,caste_certificate,53,female,ST,korba,525435,546823,2,1,0,0.64,1,0,1,0.826,83,high,"missing_documents, income_eligible, document_quality",0,"[""affidavit"",""gram_sabha_proposal""]","{""gender"":""female"",""district"":""korba"",""annual_income"":525435,""average_income_last_3_years"":546823,""date_of_birth"":""1972-09-14"",""category"":""OBC""}"
APP-000005,birth_certificate_correction,civil_registration,42,female,SC,raigarh,634004,580674,0,0,1,0.686,1,1,1,0.2499,25,low,"document_quality, field_mismatch",0,"[""existing_birth_certificate"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":634004,""average_income_last_3_years"":580674,""date_of_birth"":""1984-02-27"",""application_number"":""BC-944151""}"
APP-000006,obc_certificate,caste_certificate,36,female,EWS,ambikapur,327746,292313,1,0,0,0.722,1,1,1,0.3373,34,low,"missing_documents, document_quality",0,"[""affidavit"",""obc_certificate_of_father""]","{""gender"":""female"",""district"":""ambikapur"",""annual_income"":327746,""average_income_last_3_years"":292313,""date_of_birth"":""1989-05-20"",""category"":""OBC""}"
APP-000007,obc_certificate,caste_certificate,66,female,EWS,raipur,674834,775273,0,0,2,0.86,1,1,1,0.269,27,low,"field_mismatch, document_quality",1,"[""affidavit"",""employer_income_certificate"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":674834,""average_income_last_3_years"":775273,""date_of_birth"":""1959-04-01"",""category"":""OBC""}"
APP-000008,land_use_information,land_record,73,male,OBC,raigarh,237330,237876,0,0,0,0.878,1,1,0,0.2627,26,low,"district_valid, document_quality",0,"[""challan_copy"",""khasra"",""naksha""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":237330,""average_income_last_3_years"":237876,""date_of_birth"":""1952-12-26"",""is_applicant_owner"":1}"
APP-000009,sc_st_certificate,caste_certificate,48,male,SC,rajnandgaon,110738,102129,0,0,1,0.971,1,1,1,0.1502,15,low,"field_mismatch, document_quality",0,"[""affidavit"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":110738,""average_income_last_3_years"":102129,""date_of_birth"":""1978-02-07"",""category"":""SC/ST""}"
APP-000010,land_use_information,land_record,73,female,GENERAL,korba,815388,861832,0,0,0,0.602,1,1,1,0.1993,20,low,document_quality,0,"[""challan_copy"",""khasra"",""naksha""]","{""gender"":""female"",""district"":""korba"",""annual_income"":815388,""average_income_last_3_years"":861832,""date_of_birth"":""1952-08-02"",""is_applicant_owner"":1}"
