"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000001","birth_certificate_correction","civil_registration","23","male","ST","bilaspur","76225","81748","0","0","0","0.868","1","1","1","0.1062","11","low","document_quality","0","[""existing_birth_certificate"",""hospital_record"",""school_record"",""supporting_correction_proof""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":76225,""average_income_last_3_years"":81748,""date_of_birth"":""2003-01-21"",""application_number"":""BC-809570""}"
"APP-000002","birth_certificate_correction","civil_registration","37","female","SC","bilaspur","489898","448811","1","0","1","0.696","1","1","1","0.4264","43","medium","missing_documents, document_quality, field_mismatch","0","[""existing_birth_certificate"",""hospital_record"",""school_record""]","{""gender"":""female"",""district"":""bilaspur"",""annual_income"":489898,""average_income_last_3_years"":448811,""date_of_birth"":""1988-03-22"",""application_number"":""BC-543143""}"
"APP-000003","birth_certificate_correction","civil_registration","34","female","SC","jagdalpur","612275","543362","0","1","2","0.931","1","1","1","0.3041","30","low","field_mismatch, missing_fields, document_quality","0","[""existing_birth_certificate"",""hospital_record"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""jagdalpur"",""annual_income"":612275,""average_income_last_3_years"":543362,""date_of_birth"":""1991-04-28"",""application_number"":""BC-748564""}"
"APP-000005","birth_certificate_correction","civil_registration","42","female","SC","raigarh","634004","580674","0","0","1","0.686","1","1","1","0.2499","25","low","document_quality, field_mismatch","0","[""existing_birth_certificate"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":634004,""average_income_last_3_years"":580674,""date_of_birth"":""1984-02-27"",""application_number"":""BC-944151""}"
"APP-000014","birth_certificate_correction","civil_registration","43","female","ST","raigarh","871414","885993","0","1","0","0.967","1","1","1","0.1316","13","low","missing_fields, document_quality","0","[""existing_birth_certificate"",""school_record"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":871414,""average_income_last_3_years"":885993,""date_of_birth"":""1982-10-14"",""application_number"":""BC-328275""}"
"APP-000025","birth_certificate_correction","civil_registration","26","male","SC","jagdalpur","586004","581290","1","0","0","0.822","1","1","0","0.4623","46","medium","missing_documents, district_valid, document_quality","1","[""existing_birth_certificate""]","{""gender"":""male"",""district"":""jagdalpur"",""annual_income"":586004,""average_income_last_3_years"":581290,""date_of_birth"":""1999-06-25"",""application_number"":""BC-796101""}"
"APP-000032","birth_certificate_correction","civil_registration","22","male","SC","raigarh","869182","988421","0","0","1","0.559","1","1","1","0.2943","29","low","document_quality, field_mismatch","1","[""existing_birth_certificate"",""supporting_correction_proof""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":869182,""average_income_last_3_years"":988421,""date_of_birth"":""2003-12-03"",""application_number"":""BC-979995""}"
"APP-000035","birth_certificate_correction","civil_registration","24","female","EWS","rajnandgaon","506641","457416","0","0","0","0.905","1","1","1","0.0932","9","low","document_quality","0","[""existing_birth_certificate"",""hospital_record"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":506641,""average_income_last_3_years"":457416,""date_of_birth"":""2001-07-19"",""application_number"":""BC-556732""}"
"APP-000036","birth_certificate_correction","civil_registration","32","female","ST","rajnandgaon","402737","345794","1","0","2","0.893","1","1","1","0.4375","44","medium","missing_documents, field_mismatch, document_quality","0","[""existing_birth_certificate"",""school_record""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":402737,""average_income_last_3_years"":345794,""date_of_birth"":""1993-11-26"",""application_number"":""BC-472060""}"
"APP-000057","birth_certificate_correction","civil_registration","40","female","SC","korba","91337","86101","0","2","0","0.941","1","1","1","0.2006","20","low","missing_fields, document_quality","0","[""existing_birth_certificate"",""hospital_record"",""supporting_correction_proof""]","{""gender"":""female"",""district"":""korba"",""annual_income"":91337,""average_income_last_3_years"":86101,""date_of_birth"":""1986-01-06"",""application_number"":""BC-194511""}"
