"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000011","domicile_certificate","certificate","26","male","EWS","raigarh","82938","91886","1","0","0","0.642","1","1","1","0.3653","37","medium","missing_documents, document_quality","0","[""affidavit"",""electricity_bill"",""proof_of_5_years_residence""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":82938,""average_income_last_3_years"":91886,""date_of_birth"":""1999-10-24"",""living_in_state_years"":33}"
"APP-000017","domicile_certificate","certificate","65","female","EWS","raipur","348830","313013","1","1","0","0.679","1","1","1","0.4123","41","medium","missing_documents, document_quality, missing_fields","1","[""affidavit"",""birth_certificate""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":348830,""average_income_last_3_years"":313013,""date_of_birth"":""1960-04-07"",""living_in_state_years"":37}"
"APP-000030","domicile_certificate","certificate","80","female","SC","ambikapur","280080","261001","3","2","0","0.861","1","1","1","0.6886","69","high","missing_documents, missing_fields, document_quality","1","[""proof_of_5_years_residence""]","{""gender"":""female"",""district"":""ambikapur"",""annual_income"":280080,""average_income_last_3_years"":261001,""date_of_birth"":""1945-09-23"",""living_in_state_years"":27}"
"APP-000034","domicile_certificate","certificate","31","male","EWS","raipur","781059","844906","0","0","2","0.734","1","1","1","0.3131","31","low","field_mismatch, document_quality","0","[""affidavit"",""educational_certificate"",""electricity_bill""]","{""gender"":""male"",""district"":""raipur"",""annual_income"":781059,""average_income_last_3_years"":844906,""date_of_birth"":""1994-09-18"",""living_in_state_years"":36}"
"APP-000038","domicile_certificate","certificate","33","male","EWS","bilaspur","806321","731958","0","0","0","0.868","1","1","1","0.1062","11","low","document_quality","0","[""affidavit"",""educational_certificate"",""land_house_document"",""proof_of_5_years_residence""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":806321,""average_income_last_3_years"":731958,""date_of_birth"":""1992-12-06"",""living_in_state_years"":15}"
"APP-000040","domicile_certificate","certificate","24","female","SC","durg","314742","356388","1","0","0","0.582","1","1","1","0.3863","39","medium","missing_documents, document_quality","0","[""educational_certificate"",""land_house_document""]","{""gender"":""female"",""district"":""durg"",""annual_income"":314742,""average_income_last_3_years"":356388,""date_of_birth"":""2001-08-21"",""living_in_state_years"":33}"
"APP-000042","domicile_certificate","certificate","48","male","SC","ambikapur","232256","235878","0","0","0","0.752","1","1","1","0.1468","15","low","document_quality","0","[""affidavit"",""educational_certificate"",""electricity_bill"",""proof_of_5_years_residence""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":232256,""average_income_last_3_years"":235878,""date_of_birth"":""1977-07-27"",""living_in_state_years"":40}"
"APP-000043","domicile_certificate","certificate","72","male","OBC","bilaspur","170351","172628","1","0","0","0.621","1","0","1","0.5926","59","medium","income_eligible, missing_documents, document_quality","1","[""affidavit"",""proof_of_5_years_residence"",""ration_card""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":170351,""average_income_last_3_years"":172628,""date_of_birth"":""1954-02-06"",""living_in_state_years"":5}"
"APP-000046","domicile_certificate","certificate","60","female","GENERAL","raipur","481641","509625","1","0","1","0.685","1","0","1","0.6502","65","high","income_eligible, missing_documents, document_quality","1","[""affidavit"",""land_house_document""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":481641,""average_income_last_3_years"":509625,""date_of_birth"":""1965-07-25"",""living_in_state_years"":7}"
"APP-000054","domicile_certificate","certificate","28","male","GENERAL","bilaspur","689098","765761","1","0","0","0.824","1","1","1","0.3016","30","low","missing_documents, document_quality","0","[""affidavit"",""educational_certificate"",""proof_of_5_years_residence""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":689098,""average_income_last_3_years"":765761,""date_of_birth"":""1997-11-16"",""living_in_state_years"":31}"
