"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000022","income_certificate","certificate","51","female","SC","durg","237241","242976","0","3","0","0.737","1","1","1","0.3321","33","low","missing_fields, document_quality","1","[""affidavit"",""land_income_proof""]","{""gender"":""female"",""district"":""durg"",""annual_income"":237241,""average_income_last_3_years"":242976,""date_of_birth"":""1974-05-13""}"
"APP-000023","income_certificate","certificate","73","male","OBC","ambikapur","51773","52082","0","2","1","0.958","1","1","1","0.2747","27","low","missing_fields, field_mismatch, document_quality","0","[""affidavit"",""income_of_family_members""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":51773,""average_income_last_3_years"":52082,""date_of_birth"":""1953-02-07""}"
"APP-000027","income_certificate","certificate","76","female","GENERAL","ambikapur","189816","206980","1","0","1","0.742","1","1","1","0.4103","41","medium","missing_documents, document_quality, field_mismatch","1","[""affidavit""]","{""gender"":""female"",""district"":""ambikapur"",""annual_income"":189816,""average_income_last_3_years"":206980,""date_of_birth"":""1949-06-07""}"
"APP-000039","income_certificate","certificate","34","male","EWS","jagdalpur","337636","291600","0","2","0","0.956","1","0","1","0.4154","42","medium","income_eligible, missing_fields, document_quality","0","[""affidavit"",""certificate_from_patwari""]","{""gender"":""male"",""district"":""jagdalpur"",""annual_income"":337636,""average_income_last_3_years"":291600,""date_of_birth"":""1991-03-23""}"
"APP-000052","income_certificate","certificate","60","female","OBC","rajnandgaon","757115","838734","1","2","2","0.565","1","0","1","0.8922","89","high","income_eligible, missing_documents, field_mismatch","1","[""affidavit""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":757115,""average_income_last_3_years"":838734,""date_of_birth"":""1965-06-10""}"
"APP-000053","income_certificate","certificate","30","female","SC","raipur","515230","463660","0","0","0","0.892","1","0","1","0.3178","32","low","income_eligible, document_quality","1","[""affidavit"",""certificate_from_sarpanch""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":515230,""average_income_last_3_years"":463660,""date_of_birth"":""1995-09-30""}"
"APP-000059","income_certificate","certificate","51","female","OBC","ambikapur","612636","543455","0","1","2","0.954","1","0","1","0.5161","52","medium","income_eligible, field_mismatch, missing_fields","0","[""affidavit"",""certificate_from_patwari""]","{""gender"":""female"",""district"":""ambikapur"",""annual_income"":612636,""average_income_last_3_years"":543455,""date_of_birth"":""1974-04-22""}"
"APP-000070","income_certificate","certificate","41","female","OBC","korba","336544","357009","1","0","1","0.628","1","0","1","0.6702","67","high","income_eligible, missing_documents, document_quality","1","[""affidavit""]","{""gender"":""female"",""district"":""korba"",""annual_income"":336544,""average_income_last_3_years"":357009,""date_of_birth"":""1985-03-11""}"
"APP-000074","income_certificate","certificate","73","male","OBC","ambikapur","69651","68810","0","0","0","0.724","1","1","1","0.1566","16","low","document_quality","0","[""affidavit"",""form16""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":69651,""average_income_last_3_years"":68810,""date_of_birth"":""1952-05-25""}"
"APP-000078","income_certificate","certificate","82","male","GENERAL","raigarh","453159","448089","1","0","1","0.81","1","0","1","0.6065","61","medium","income_eligible, missing_documents, field_mismatch","0","[""affidavit""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":453159,""average_income_last_3_years"":448089,""date_of_birth"":""1943-10-02""}"
