"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000008","land_use_information","land_record","73","male","OBC","raigarh","237330","237876","0","0","0","0.878","1","1","0","0.2627","26","low","district_valid, document_quality","0","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":237330,""average_income_last_3_years"":237876,""date_of_birth"":""1952-12-26"",""is_applicant_owner"":1}"
"APP-000010","land_use_information","land_record","73","female","GENERAL","korba","815388","861832","0","0","0","0.602","1","1","1","0.1993","20","low","document_quality","0","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""female"",""district"":""korba"",""annual_income"":815388,""average_income_last_3_years"":861832,""date_of_birth"":""1952-08-02"",""is_applicant_owner"":1}"
"APP-000015","land_use_information","land_record","30","male","ST","ambikapur","244851","213156","0","1","0","0.799","1","1","1","0.1903","19","low","document_quality, missing_fields","0","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":244851,""average_income_last_3_years"":213156,""date_of_birth"":""1996-01-13"",""is_applicant_owner"":1}"
"APP-000028","land_use_information","land_record","56","female","SC","jagdalpur","707193","651871","1","0","0","0.694","1","1","1","0.3471","35","low","missing_documents, document_quality","0","[""challan_copy"",""naksha""]","{""gender"":""female"",""district"":""jagdalpur"",""annual_income"":707193,""average_income_last_3_years"":651871,""date_of_birth"":""1969-11-14"",""is_applicant_owner"":1}"
"APP-000033","land_use_information","land_record","72","male","OBC","durg","803252","710363","0","3","0","0.949","1","0","1","0.4778","48","medium","income_eligible, missing_fields, document_quality","0","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""male"",""district"":""durg"",""annual_income"":803252,""average_income_last_3_years"":710363,""date_of_birth"":""1953-05-22"",""is_applicant_owner"":0}"
"APP-000041","land_use_information","land_record","75","female","GENERAL","rajnandgaon","698458","640979","1","3","0","0.681","1","1","1","0.5316","53","medium","missing_documents, missing_fields, document_quality","0","[""khasra"",""naksha""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":698458,""average_income_last_3_years"":640979,""date_of_birth"":""1950-10-13"",""is_applicant_owner"":1}"
"APP-000044","land_use_information","land_record","56","male","GENERAL","korba","509023","444953","2","1","0","0.561","1","1","1","0.6337","63","medium","missing_documents, document_quality, missing_fields","0","[""khasra""]","{""gender"":""male"",""district"":""korba"",""annual_income"":509023,""average_income_last_3_years"":444953,""date_of_birth"":""1969-05-09"",""is_applicant_owner"":1}"
"APP-000045","land_use_information","land_record","27","female","EWS","rajnandgaon","850177","915539","1","0","0","0.979","1","1","1","0.2473","25","low","missing_documents, document_quality","1","[""khasra"",""naksha""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":850177,""average_income_last_3_years"":915539,""date_of_birth"":""1998-10-23"",""is_applicant_owner"":1}"
"APP-000047","land_use_information","land_record","48","female","SC","raigarh","702878","756952","0","3","0","0.949","1","1","1","0.2579","26","low","missing_fields, document_quality","1","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":702878,""average_income_last_3_years"":756952,""date_of_birth"":""1977-10-29"",""is_applicant_owner"":1}"
"APP-000048","land_use_information","land_record","25","male","SC","rajnandgaon","629077","611712","0","2","2","0.764","1","1","1","0.4226","42","medium","field_mismatch, missing_fields, document_quality","0","[""challan_copy"",""khasra"",""naksha""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":629077,""average_income_last_3_years"":611712,""date_of_birth"":""2001-01-13"",""is_applicant_owner"":1}"
