"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000004","obc_certificate","caste_certificate","53","female","ST","korba","525435","546823","2","1","0","0.64","1","0","1","0.826","83","high","missing_documents, income_eligible, document_quality","0","[""affidavit"",""gram_sabha_proposal""]","{""gender"":""female"",""district"":""korba"",""annual_income"":525435,""average_income_last_3_years"":546823,""date_of_birth"":""1972-09-14"",""category"":""OBC""}"
"APP-000006","obc_certificate","caste_certificate","36","female","EWS","ambikapur","327746","292313","1","0","0","0.722","1","1","1","0.3373","34","low","missing_documents, document_quality","0","[""affidavit"",""obc_certificate_of_father""]","{""gender"":""female"",""district"":""ambikapur"",""annual_income"":327746,""average_income_last_3_years"":292313,""date_of_birth"":""1989-05-20"",""category"":""OBC""}"
"APP-000007","obc_certificate","caste_certificate","66","female","EWS","raipur","674834","775273","0","0","2","0.86","1","1","1","0.269","27","low","field_mismatch, document_quality","1","[""affidavit"",""employer_income_certificate"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":674834,""average_income_last_3_years"":775273,""date_of_birth"":""1959-04-01"",""category"":""OBC""}"
"APP-000013","obc_certificate","caste_certificate","30","male","SC","raigarh","103045","107748","2","0","2","0.725","1","0","1","0.8962","90","high","missing_documents, income_eligible, field_mismatch","1","[""affidavit"",""gram_sabha_proposal"",""vanshavali""]","{""gender"":""male"",""district"":""raigarh"",""annual_income"":103045,""average_income_last_3_years"":107748,""date_of_birth"":""1995-12-20"",""category"":""OBC""}"
"APP-000019","obc_certificate","caste_certificate","72","male","ST","raipur","638153","544281","0","0","0","0.8","1","0","1","0.35","35","medium","income_eligible, document_quality","0","[""affidavit"",""employer_income_certificate"",""gram_sabha_proposal"",""obc_certificate_of_father""]","{""gender"":""male"",""district"":""raipur"",""annual_income"":638153,""average_income_last_3_years"":544281,""date_of_birth"":""1953-09-06"",""category"":""OBC""}"
"APP-000020","obc_certificate","caste_certificate","37","male","GENERAL","raipur","298237","330858","1","0","1","0.867","1","0","1","0.5865","59","medium","income_eligible, missing_documents, field_mismatch","1","[""affidavit"",""educational_certificate"",""vanshavali""]","{""gender"":""male"",""district"":""raipur"",""annual_income"":298237,""average_income_last_3_years"":330858,""date_of_birth"":""1988-12-13"",""category"":""OBC""}"
"APP-000021","obc_certificate","caste_certificate","62","male","ST","raipur","370015","405595","2","0","2","0.633","1","0","1","0.9284","93","high","missing_documents, income_eligible, field_mismatch","0","[""affidavit"",""vanshavali""]","{""gender"":""male"",""district"":""raipur"",""annual_income"":370015,""average_income_last_3_years"":405595,""date_of_birth"":""1963-04-12"",""category"":""OBC""}"
"APP-000024","obc_certificate","caste_certificate","59","male","ST","ambikapur","471947","499868","0","1","0","0.954","1","0","1","0.3561","36","medium","income_eligible, missing_fields, document_quality","0","[""affidavit"",""employer_income_certificate"",""gram_sabha_proposal"",""obc_certificate_of_father"",""vanshavali""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":471947,""average_income_last_3_years"":499868,""date_of_birth"":""1966-04-08"",""category"":""OBC""}"
"APP-000026","obc_certificate","caste_certificate","27","male","GENERAL","rajnandgaon","527538","513997","1","1","0","0.655","1","0","1","0.6407","64","medium","income_eligible, missing_documents, document_quality","0","[""affidavit"",""patwari_certificate"",""vanshavali""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":527538,""average_income_last_3_years"":513997,""date_of_birth"":""1998-08-22"",""category"":""OBC""}"
"APP-000031","obc_certificate","caste_certificate","35","female","GENERAL","korba","534125","483126","1","0","0","0.746","1","0","1","0.5489","55","medium","income_eligible, missing_documents, document_quality","1","[""affidavit"",""gram_sabha_proposal"",""jamabandi"",""vanshavali""]","{""gender"":""female"",""district"":""korba"",""annual_income"":534125,""average_income_last_3_years"":483126,""date_of_birth"":""1990-11-26"",""category"":""OBC""}"
"APP-000037","obc_certificate","caste_certificate","48","female","GENERAL","raipur","774156","768603","0","1","0","0.677","1","0","1","0.453","45","medium","income_eligible, document_quality, missing_fields","1","[""affidavit"",""census_register"",""employer_income_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":774156,""average_income_last_3_years"":768603,""date_of_birth"":""1978-01-26"",""category"":""OBC""}"
"APP-000049","obc_certificate","caste_certificate","42","male","SC","jagdalpur","678492","680169","1","1","1","0.696","1","0","1","0.7064","71","high","income_eligible, missing_documents, document_quality","1","[""patwari_certificate"",""school_transfer_certificate""]","{""gender"":""male"",""district"":""jagdalpur"",""annual_income"":678492,""average_income_last_3_years"":680169,""date_of_birth"":""1983-08-15"",""category"":""OBC""}"
"APP-000051","obc_certificate","caste_certificate","22","female","SC","rajnandgaon","182378","182503","1","1","0","0.776","1","0","1","0.5984","60","medium","income_eligible, missing_documents, document_quality","1","[""affidavit"",""form16"",""gram_sabha_proposal""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":182378,""average_income_last_3_years"":182503,""date_of_birth"":""2004-01-23"",""category"":""OBC""}"
"APP-000056","obc_certificate","caste_certificate","53","male","EWS","rajnandgaon","58491","59647","0","1","1","0.884","1","1","1","0.2406","24","low","field_mismatch, missing_fields, document_quality","1","[""affidavit"",""census_register"",""sarpanch_certificate"",""vanshavali""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":58491,""average_income_last_3_years"":59647,""date_of_birth"":""1972-10-19"",""category"":""OBC""}"
"APP-000067","obc_certificate","caste_certificate","69","female","GENERAL","korba","486196","519687","2","0","1","0.66","1","0","1","0.839","84","high","missing_documents, income_eligible, document_quality","1","[""gram_sabha_proposal"",""obc_certificate_of_father""]","{""gender"":""female"",""district"":""korba"",""annual_income"":486196,""average_income_last_3_years"":519687,""date_of_birth"":""1956-04-08"",""category"":""OBC""}"
"APP-000077","obc_certificate","caste_certificate","59","female","SC","rajnandgaon","707685","668650","0","0","0","0.821","1","0","1","0.3427","34","low","income_eligible, document_quality","0","[""affidavit"",""employer_income_certificate"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":707685,""average_income_last_3_years"":668650,""date_of_birth"":""1966-07-31"",""category"":""OBC""}"
"APP-000086","obc_certificate","caste_certificate","62","female","EWS","korba","77965","75974","1","1","0","0.716","1","1","1","0.3994","40","medium","missing_documents, document_quality, missing_fields","0","[""affidavit"",""employer_income_certificate""]","{""gender"":""female"",""district"":""korba"",""annual_income"":77965,""average_income_last_3_years"":75974,""date_of_birth"":""1963-11-15"",""category"":""OBC""}"
"APP-000088","obc_certificate","caste_certificate","76","female","EWS","raipur","115858","102332","0","1","0","0.772","1","1","1","0.1998","20","low","document_quality, missing_fields","1","[""affidavit"",""form16"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":115858,""average_income_last_3_years"":102332,""date_of_birth"":""1949-04-25"",""category"":""OBC""}"
"APP-000095","obc_certificate","caste_certificate","22","female","OBC","korba","684487","613321","0","1","0","0.878","1","1","1","0.1627","16","low","missing_fields, document_quality","0","[""affidavit"",""form16"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""korba"",""annual_income"":684487,""average_income_last_3_years"":613321,""date_of_birth"":""2003-07-31"",""category"":""OBC""}"
"APP-000104","obc_certificate","caste_certificate","78","male","GENERAL","bilaspur","349628","353476","0","0","0","0.863","1","0","1","0.328","33","low","income_eligible, document_quality","1","[""affidavit"",""census_register"",""form16"",""vanshavali""]","{""gender"":""male"",""district"":""bilaspur"",""annual_income"":349628,""average_income_last_3_years"":353476,""date_of_birth"":""1947-10-31"",""category"":""OBC""}"
"APP-000106","obc_certificate","caste_certificate","37","male","OBC","korba","685710","766582","1","1","0","0.719","1","1","1","0.3983","40","medium","missing_documents, document_quality, missing_fields","1","[""affidavit"",""census_register"",""gram_sabha_proposal""]","{""gender"":""male"",""district"":""korba"",""annual_income"":685710,""average_income_last_3_years"":766582,""date_of_birth"":""1988-12-21"",""category"":""OBC""}"
"APP-000111","obc_certificate","caste_certificate","62","female","SC","jagdalpur","860616","939263","0","0","0","0.699","1","0","1","0.3854","39","medium","income_eligible, document_quality","1","[""affidavit"",""census_register"",""form16"",""vanshavali""]","{""gender"":""female"",""district"":""jagdalpur"",""annual_income"":860616,""average_income_last_3_years"":939263,""date_of_birth"":""1964-02-03"",""category"":""OBC""}"
