"application_id","service_type","service_category","age","gender","caste","district","annual_income","average_income_last_3_years","missing_documents_count","missing_fields_count","field_mismatch_count","document_quality_score","age_eligible","income_eligible","district_valid","risk_probability","risk_score","risk_level","main_contributing_factors","rejected","uploaded_documents","application_fields"
"APP-000009","sc_st_certificate","caste_certificate","48","male","SC","rajnandgaon","110738","102129","0","0","1","0.971","1","1","1","0.1502","15","low","field_mismatch, document_quality","0","[""affidavit"",""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":110738,""average_income_last_3_years"":102129,""date_of_birth"":""1978-02-07"",""category"":""SC/ST""}"
"APP-000012","sc_st_certificate","caste_certificate","72","male","SC","raipur","481071","476311","0","0","0","0.863","1","1","1","0.1079","11","low","document_quality","0","[""affidavit"",""certificate_from_sarpanch"",""gram_sabha_proposal"",""vanshavali""]","{""gender"":""male"",""district"":""raipur"",""annual_income"":481071,""average_income_last_3_years"":476311,""date_of_birth"":""1953-08-20"",""category"":""SC/ST""}"
"APP-000016","sc_st_certificate","caste_certificate","48","female","GENERAL","korba","328517","318246","1","0","0","0.554","1","0","1","0.6161","62","medium","income_eligible, missing_documents, document_quality","1","[""gram_sabha_proposal"",""vanshavali""]","{""gender"":""female"",""district"":""korba"",""annual_income"":328517,""average_income_last_3_years"":318246,""date_of_birth"":""1978-02-05"",""category"":""SC/ST""}"
"APP-000018","sc_st_certificate","caste_certificate","44","female","EWS","rajnandgaon","770892","801936","0","0","0","0.939","1","0","1","0.3014","30","low","income_eligible, document_quality","1","[""certificate_from_sarpanch"",""gram_sabha_proposal""]","{""gender"":""female"",""district"":""rajnandgaon"",""annual_income"":770892,""average_income_last_3_years"":801936,""date_of_birth"":""1981-11-06"",""category"":""SC/ST""}"
"APP-000029","sc_st_certificate","caste_certificate","77","female","GENERAL","raipur","485970","422152","0","2","0","0.714","1","0","1","0.5001","50","medium","income_eligible, missing_fields, document_quality","0","[""affidavit"",""census_register"",""vanshavali""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":485970,""average_income_last_3_years"":422152,""date_of_birth"":""1948-05-24"",""category"":""SC/ST""}"
"APP-000050","sc_st_certificate","caste_certificate","66","male","ST","ambikapur","527463","595957","0","0","1","0.918","1","1","1","0.1687","17","low","field_mismatch, document_quality","0","[""census_register""]","{""gender"":""male"",""district"":""ambikapur"",""annual_income"":527463,""average_income_last_3_years"":595957,""date_of_birth"":""1959-11-16"",""category"":""SC/ST""}"
"APP-000062","sc_st_certificate","caste_certificate","63","male","SC","rajnandgaon","113491","110022","0","1","0","0.835","1","1","1","0.1778","18","low","missing_fields, document_quality","0","[""affidavit"",""caste_certificate_other_state"",""vanshavali""]","{""gender"":""male"",""district"":""rajnandgaon"",""annual_income"":113491,""average_income_last_3_years"":110022,""date_of_birth"":""1963-01-27"",""category"":""SC/ST""}"
"APP-000076","sc_st_certificate","caste_certificate","62","male","ST","durg","812712","924433","0","1","0","0.66","1","1","1","0.239","24","low","document_quality, missing_fields","0","[""gram_sabha_proposal"",""school_transfer_certificate""]","{""gender"":""male"",""district"":""durg"",""annual_income"":812712,""average_income_last_3_years"":924433,""date_of_birth"":""1963-12-31"",""category"":""SC/ST""}"
"APP-000092","sc_st_certificate","caste_certificate","73","female","OBC","bilaspur","469453","503719","0","1","1","0.848","1","0","1","0.4732","47","medium","income_eligible, field_mismatch, missing_fields","1","[""educational_certificate"",""gram_sabha_proposal""]","{""gender"":""female"",""district"":""bilaspur"",""annual_income"":469453,""average_income_last_3_years"":503719,""date_of_birth"":""1952-07-03"",""category"":""SC/ST""}"
"APP-000096","sc_st_certificate","caste_certificate","51","female","GENERAL","raigarh","788237","775532","0","1","1","0.608","1","0","1","0.5572","56","medium","income_eligible, document_quality, field_mismatch","1","[""gram_sabha_proposal"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":788237,""average_income_last_3_years"":775532,""date_of_birth"":""1975-01-11"",""category"":""SC/ST""}"
"APP-000101","sc_st_certificate","caste_certificate","44","male","GENERAL","jagdalpur","854214","872700","0","0","0","0.961","1","0","1","0.2937","29","low","income_eligible, document_quality","0","[""affidavit"",""citizen_register"",""gram_sabha_proposal"",""vanshavali""]","{""gender"":""male"",""district"":""jagdalpur"",""annual_income"":854214,""average_income_last_3_years"":872700,""date_of_birth"":""1981-04-20"",""category"":""SC/ST""}"
"APP-000102","sc_st_certificate","caste_certificate","58","female","GENERAL","bilaspur","819864","939897","0","0","0","0.771","1","0","1","0.3601","36","medium","income_eligible, document_quality","0","[""affidavit"",""father_service_certificate"",""gram_sabha_proposal"",""vanshavali""]","{""gender"":""female"",""district"":""bilaspur"",""annual_income"":819864,""average_income_last_3_years"":939897,""date_of_birth"":""1967-09-07"",""category"":""SC/ST""}"
"APP-000115","sc_st_certificate","caste_certificate","38","female","ST","raipur","816634","806568","0","2","0","0.89","1","1","1","0.2185","22","low","missing_fields, document_quality","0","[""affidavit"",""father_service_certificate""]","{""gender"":""female"",""district"":""raipur"",""annual_income"":816634,""average_income_last_3_years"":806568,""date_of_birth"":""1987-09-24"",""category"":""SC/ST""}"
"APP-000117","sc_st_certificate","caste_certificate","38","female","SC","jagdalpur","475110","501631","0","0","1","0.814","1","1","1","0.2051","21","low","field_mismatch, document_quality","0","[""affidavit"",""school_transfer_certificate"",""vanshavali""]","{""gender"":""female"",""district"":""jagdalpur"",""annual_income"":475110,""average_income_last_3_years"":501631,""date_of_birth"":""1987-09-08"",""category"":""SC/ST""}"
"APP-000120","sc_st_certificate","caste_certificate","26","male","GENERAL","raipur","617451","708980","1","0","2","0.726","1","0","1","0.7159","72","high","income_eligible, missing_documents, field_mismatch","0","[]","{""gender"":""male"",""district"":""raipur"",""annual_income"":617451,""average_income_last_3_years"":708980,""date_of_birth"":""1999-10-20"",""category"":""SC/ST""}"
"APP-000132","sc_st_certificate","caste_certificate","68","female","GENERAL","raigarh","132857","127797","1","1","0","0.647","1","0","1","0.6436","64","medium","income_eligible, missing_documents, document_quality","1","[]","{""gender"":""female"",""district"":""raigarh"",""annual_income"":132857,""average_income_last_3_years"":127797,""date_of_birth"":""1957-03-23"",""category"":""SC/ST""}"
